,Event,Person
0,"DigitalNews - Тренды, новости, исследования",александр бурков
0,"DigitalNews - Тренды, новости, исследования",любовь черемисина
0,Бесплатный тренинг по C++ онлайн,дмитрия маклак
0,Бесплатный тренинг по C++ онлайн,алексей сухоруков
0,Как новичку научиться создавать видео за один день.,юлия коротецкая
0,"Aronicle Blockchain BrainUP: Initial coin offering (ICO) – кейсы и методология, итоги /17 и прогнозы /18",юрий васильчиков
0,"Aronicle Blockchain BrainUP: Initial coin offering (ICO) – кейсы и методология, итоги /17 и прогнозы /18",николай никишкин
0,"Aronicle Blockchain BrainUP: Initial coin offering (ICO) – кейсы и методология, итоги /17 и прогнозы /18",роман кауфман
0,Воркшоп: Увеличить конверсию в 3-7 раз без рекламных бюджетов,любовь черемисина
0,Blockchain MeetUp: IBCG - Итоги года 2017,василий кузнецов
0,Blockchain MeetUp: IBCG - Итоги года 2017,илья варламов
0,Blockchain MeetUp: IBCG - Итоги года 2017,николай никишкин
0,Blockchain MeetUp: IBCG - Итоги года 2017,сергей беседин
0,Blockchain MeetUp: IBCG - Итоги года 2017,юлий плавник
0,Blockchain MeetUp: IBCG - Итоги года 2017,дмитрий плющевский
0,Blockchain MeetUp: IBCG - Итоги года 2017,роман кауфман
0,Кому нужен Landing Page? И чем продающая страница отличается от одностраничного сайта?,екатерина дунаева
0,"Бесплатный вебинар ""Тренды SMM 2018"".",валерий рубец
0,Встреча JUG.ru c Романом Елизаровым — Kotlin: Асинхронное программирование с корутинами,роман елизаров
0,Data Science Meetup #2,данил анисимов
0,Data Science Meetup #2,варвар крайванов
0,Блокчейн и смарт-контракты — что это такое простыми словами?,светлана русова
0,Карты эмпатии: от аналитики до внедрения,ольга лаврикова
0,Founders talk: B2B-продажи и привлечение инвестиций от корпорации,дмитрий степаненко
0,Founders talk: B2B-продажи и привлечение инвестиций от корпорации,роман арифуллин
0,"Бизнес-завтрак ""Сайт как основной продавец""",светлана свиточева
0,Perm Tech Talks #2 по машинному обучению,полина чикурова
0,Perm Tech Talks #2 по машинному обучению,андрей гаспарян
0,Perm Tech Talks #2 по машинному обучению,петра харебова
0,Perm Tech Talks #2 по машинному обучению,дмитрия паньковы
0,"Online-интенсив ""Настройка рекламы VKontakte""",вадима честик
0,"Хостинг-завтрак ""Как максимально эффективно использовать услуги и сервисы хостинга""",филанко черняев
0,"Хостинг-завтрак ""Как максимально эффективно использовать услуги и сервисы хостинга""",антон савельев
0,"Хостинг-завтрак ""Как максимально эффективно использовать услуги и сервисы хостинга""",елена минина
0,"Хостинг-завтрак ""Как максимально эффективно использовать услуги и сервисы хостинга""",светозар колесников
0,Фото- и видеосъемка с высоты от Timelab production,андрей ефимов
0,Фото- и видеосъемка с высоты от Timelab production,михаил эленбергер
0,"Митап Softer. ТРИЗ в разработке ПО. Чеклисты, чтобы избежать фатальных ошибок",генрих альтшуллер
0,Начало продвижения в социальных сетях,татьяна высоцкая
0,Peer Lab Kirov,михаил крестьянинов
0,Jjoy - Java Meetup #7,артём ларин
0,Jjoy - Java Meetup #7,станислав матковский
0,Jjoy - Java Meetup #7,владимир смирнов
0,Встреча SpbDotNet №25,игорь лабутин
0,Встреча SpbDotNet №25,станислав сидристый
0,Token Presentation Event @CryptoPapa's,владислав бучнев
0,Token Presentation Event @CryptoPapa's,никита томилин
0,Token Presentation Event @CryptoPapa's,аба даби
0,Token Presentation Event @CryptoPapa's,дмитрий винокуров
0,Token Presentation Event @CryptoPapa's,владислав сапожников
0,Token Presentation Event @CryptoPapa's,олег грибанов
0,Token Presentation Event @CryptoPapa's,валерий прайд
0,MskDotNet Meetup #16,антон сысоев
0,MskDotNet Meetup #16,эрик мейер
0,MskDotNet Meetup #16,виктор васильев
0,MskDotNet Meetup #16,николай гусев
0,Открытая лекция по онлайн-маркетингу и рекламе,кристина корнеева
0,Открытая лекция по онлайн-маркетингу и рекламе,евгений шаламов
0,Blockchain: трансформация будущего,владислав бучнев
0,Blockchain: трансформация будущего,сергей большаков
0,Blockchain: трансформация будущего,ольга петрунина
0,Blockchain: трансформация будущего,татьяна гулина
0,Wrike Tech Club: встреча по UX-дизайну,михаил фролов
0,Wrike Tech Club: встреча по UX-дизайну,платон днепровский
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",анна жарова
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",евгений архипов
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",михаил шувалов
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",владимир гамза
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",владимир иванов
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",гарегин тосунян
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",батал лёва
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",дмитрий михайлов
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",денис паньшин
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",андрей светланов
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",дмитрий серегин
0,"Международный форум ""Право, высокие технологии, национальная безопасность 2017"" (ILTF 2017)",виталий беспалов
0,Технологии виртуальной и дополненной реальности,лев бородинов
0,Технологии виртуальной и дополненной реальности,александр катаев
0,Технологии виртуальной и дополненной реальности,алексей алексеев
0,Лекция  «О миссии Кассини на Сатурне»,роман рогов
0,Open Epic Day #6: Future is coming!,фёдор матвеев
0,Open Epic Day #6: Future is coming!,василий баранов
0,Open Epic Day #6: Future is coming!,илхом назаров
0,Open Epic Day #6: Future is coming!,евгений виноградов
0,Open Epic Day #6: Future is coming!,олег гавриленко
0,Open Epic Day #6: Future is coming!,саша куценко
0,"«Школы дизайна: Баухауз, Ульм, Вхутемас»",вхутемас ульм
0,"«Школы дизайна: Баухауз, Ульм, Вхутемас»",андрей сергеев
0,Learn You a FP for Great Good,никита размахнин
0,Learn You a FP for Great Good,максим самойлов
0,Learn You a FP for Great Good,сергей черепанов
0,CryptoЕлка. Новогодний блокчейн Митап,роман янковский
0,CryptoЕлка. Новогодний блокчейн Митап,элина сидоренко
0,CryptoЕлка. Новогодний блокчейн Митап,алексей воронин
0,CryptoЕлка. Новогодний блокчейн Митап,евгений хашин
0,CryptoЕлка. Новогодний блокчейн Митап,антон жуков
0,CryptoЕлка. Новогодний блокчейн Митап,анатолия поединец
0,CryptoЕлка. Новогодний блокчейн Митап,александра квасок
0,CryptoЕлка. Новогодний блокчейн Митап,роман кауфман
0,Конференция по теме «Медиаменеджмент»,анна кириченко
0,Конференция по теме «Медиаменеджмент»,илья садовский
0,Конференция по теме «Медиаменеджмент»,голден ринг
0,Конференция по теме «Медиаменеджмент»,дмитрий калениченко
0,Krasnodar Backend: Meetup #1,андрей синченко
0,Krasnodar Backend: Meetup #1,роман букин
0,Krasnodar Backend: Meetup #1,константин чугалинский
0,Системы электронного документооборота. Практика внедрения,елена рожкова
0,MskDotNet Субботник,владимир кочетков
0,MskDotNet Субботник,викторин обед
0,MskDotNet Субботник,дмитрия сошник
0,MskDotNet Субботник,марка симана
0,Machine Learning meet-up. Сибирская конференция по машинному обучению.,джалиль муса
0,Встреча компании Crossover с кандидатами в Москве 15 декабря,поль ямский
0,Открытая лекция «Нет офиса — нет проблем. Секреты создания удаленной команды под любые задачи бизнеса»,евгений попов
0,"Бизнес-завтрак ""Сайт как основной продавец""",светлана свиточева
0,Блокчейн - технология бизнеса будущего и готовые решения сегодня,станислав полозов
0,Блокчейн - технология бизнеса будущего и готовые решения сегодня,евгений шумилов
0,Сборка: Машинное обучение,евгений доронин
0,e-Legion Meetup: дизайн мобильных интерфейсов,дмитрий головков
0,e-Legion Meetup: дизайн мобильных интерфейсов,анатолий ларин
0,e-Legion Meetup: дизайн мобильных интерфейсов,ник бабич
0,"Online-интенсив ""Дизайн в социальных сетях""",маша дубровина
0,Секреты эффективности страниц приложений в Google Play и iOS,денис ворошилов
0,"День открытых дверей ЦОД ""Медная Фольга""",николай черняев
0,"День открытых дверей ЦОД ""Медная Фольга""",александр завалишин
0,"День открытых дверей ЦОД ""Медная Фольга""",антон савельев
0,"День открытых дверей ЦОД ""Медная Фольга""",дмитрий шаров
0,"День открытых дверей ЦОД ""Медная Фольга""",андрей баев
0,"День открытых дверей ЦОД ""Медная Фольга""",елена минина
0,"День открытых дверей ЦОД ""Медная Фольга""",светозар колесников
0,"Мастер-класс ""Описание архитектуры программной системы  средствами UML""",денис иванов
0,Создай свою первую модель машинного обучения,пётр ермаков
0,"Открытая беседа о том, как победить сетевую зависимость и начать жить",павел лебедев
0,"Контент-маркетинг: полезный, эффективный, сложный. Мастер-класс Родиона Скрябина из цикла ""Школа Блогеров""",родион скрябин
0,#ОхтаFutureTalks: VR/AR: сферы применения сегодня и завтра,юрий лашманов
0,#ОхтаFutureTalks: VR/AR: сферы применения сегодня и завтра,артём смолин
0,#ОхтаFutureTalks: VR/AR: сферы применения сегодня и завтра,даниил савчук
0,#ОхтаFutureTalks: VR/AR: сферы применения сегодня и завтра,дмитрий волков
0,#ОхтаFutureTalks: VR/AR: сферы применения сегодня и завтра,сергей захаров
0,Конференция «SMM курс-2»,елена пискарева
0,Конференция «SMM курс-2»,сергей кокарев
0,Конференция «SMM курс-2»,сергей стукалов
0,Конференция «SMM курс-2»,никита трещев
0,"WordPress Meetup #13. Типичные ошибки WordPress-новичков, WooCommerce + МойСклад, Carbon Fields, Реклама в Facebook, SVG и перформанс",анатолий юмашев
0,"WordPress Meetup #13. Типичные ошибки WordPress-новичков, WooCommerce + МойСклад, Carbon Fields, Реклама в Facebook, SVG и перформанс",катя леурдо
0,"WordPress Meetup #13. Типичные ошибки WordPress-новичков, WooCommerce + МойСклад, Carbon Fields, Реклама в Facebook, SVG и перформанс",кирилл хаткевич
0,"WordPress Meetup #13. Типичные ошибки WordPress-новичков, WooCommerce + МойСклад, Carbon Fields, Реклама в Facebook, SVG и перформанс",анна ладошкина
0,"WordPress Meetup #13. Типичные ошибки WordPress-новичков, WooCommerce + МойСклад, Carbon Fields, Реклама в Facebook, SVG и перформанс",руслан бегалиев
0,Лекционный день по игровой индустрии,мирослав бронников
0,Лекционный день по игровой индустрии,игорь соловьев
0,Avito Product Analytics Meetup,екатерина лосева
0,Avito Product Analytics Meetup,евгений шнейдерман
0,Avito Product Analytics Meetup,артём данилов
0,Avito Product Analytics Meetup,данила леньков
0,Интенсив по Deep Learning,григорий сапунов
0,2-дневный курс «Погружение в блокчейн»,софья лебедева
0,2-дневный курс «Погружение в блокчейн»,иван ермохин
0,2-дневный курс «Погружение в блокчейн»,антонин левашенко
0,2-дневный курс «Погружение в блокчейн»,юрий васильчиков
0,2-дневный курс «Погружение в блокчейн»,мария гирич
0,2-дневный курс «Погружение в блокчейн»,сергей прилуцкий
0,Первый шаг в блокчейн-проектах — практикум по программированию смарт-контрактов на Solidity,светлана русова
0,"Новые экономические и технологические факторы, которые меняют нашу жизнь",артём герасименко
0,Google Cloud Developer Meetup,звиад кардава
0,Google Cloud Developer Meetup,дмитрий новаковский
0,Google Cloud Developer Meetup,артём старостенко
0,Google Cloud Developer Meetup,никита грехов
0,Google Cloud Developer Meetup,александр ивлев
0,Google Cloud Developer Meetup,константин драволин
0,Google Cloud Developer Meetup,роман гаян
0,"Бизнес-завтрак ""Сайт как основной продавец""",светлана свиточева
0,Как создать игру в виртуальной реальности: 9 шагов от идеи до запуска,павел васютин
0,MinskCSS Meetup #3,александр шинкевич
0,MinskCSS Meetup #3,никита дубко
0,"""Запустил бизнес? Разберись в интернет-маркетинге!""",марат машков
0,"Online-интенсив ""Социальные сети для начинающих""",наталья хомутова
0,"Конференция ""Digital Recruitment""",мария куцева
0,Профессиональная мобильная фотография от Стаса Лиепы,станислав лиёпа
0,Профессиональная мобильная фотография от Стаса Лиепы,руслан соколовский
0,Профессиональная мобильная фотография от Стаса Лиепы,дмитрий ларин
0,Профессиональная мобильная фотография от Стаса Лиепы,стас лиёпа
0,Профессиональная мобильная фотография от Стаса Лиепы,стас давыдов
0,Профессиональная мобильная фотография от Стаса Лиепы,михаил эленбергер
0,Роботы для бизнеса: онлайн-курс по RPA — роботизированной автоматизации процессов,максим яцкевич
0,Тренды отельного маркетинга в 2018 году,сергей скорбенко
0,Увеличь количество заявок с сайта в 2 раза при том же бюджете на контекстную рекламу и SEO. Модель РОСТА для увеличения конверсии вашего сайта,артур кудрявцев
0,Курс эффективной торговли на криптобиржах,марат мынбаев
0,Курс эффективной торговли на криптобиржах,антон скворцов
0,Курс эффективной торговли на криптобиржах,ольга кирьянова
0,Старт и развитие бизнеса в Инстаграм,александр евграфов
0,Лайфхаки Instagram: 10 правил ведения личных страниц,тина мичурина
0,"Мастер-класс ""Как открыть свою онлайн-школу"" от Акселератора онлайн-школ ACCEL",сергей капустин
0,"Мастер-класс ""Как открыть свою онлайн-школу"" от Акселератора онлайн-школ ACCEL",юлия никулина
0,"Мультимедийные истории: от идеи и концепции до реализации и продвижения. Мастер-класс Артема Галустяна из цикла ""Школа Блогеров""",артем галустян
0,"Мультимедийные истории: от идеи и концепции до реализации и продвижения. Мастер-класс Артема Галустяна из цикла ""Школа Блогеров""",артема галустянин
0,Особенности работы венчурного инвестора со стартапом - мастер-класс управляющего партнера фонда Starta Capital,сергей васильев
0,Как НЕ попасть в СМИ и оказаться в черном списке у журналистов - мастер-класс главного редактора Rusbase,светлана совет
0,Как НЕ попасть в СМИ и оказаться в черном списке у журналистов - мастер-класс главного редактора Rusbase,светлана зыкова
0,AI is new UI. Как меняется пользовательский опыт цифровых продуктов,ярослав шуваев
0,AI is new UI. Как меняется пользовательский опыт цифровых продуктов,альфа банка
0,#ОхтаFutureTalks: Медицина будущего,павел волчков
0,#ОхтаFutureTalks: Медицина будущего,евгений смородников
0,#ОхтаFutureTalks: Медицина будущего,руслан зайдуллин
0,#ОхтаFutureTalks: Медицина будущего,мфтиданиил савчук
0,Avito iOS Winter Edition,стас цыганов
0,Avito iOS Winter Edition,валерий попов
0,Avito iOS Winter Edition,владислав алексеев
0,Avito iOS Winter Edition,вадима смаля
0,"Мастер-класс ""Развитие креативности""",ксения дементьева
0,"Мастер-класс ""Развитие креативности""",ангелина журавлева
0,Онлайн-школа разработки ТЗ на ПО,денис бесков
0,Онлайн-школа разработки ТЗ на ПО,евгений галактионов
0,Онлайн-школа разработки ТЗ на ПО,юлий митяев
0,Федеральный семинар: “Запуск сайта в срок и настройка процессов продаж.”,константин иванцов
0,Федеральный семинар: “Запуск сайта в срок и настройка процессов продаж.”,антон молько
0,Google Cloud Day,никита грехов
0,Google Cloud Day,бизнесувячеслав беляков
0,Google Cloud Day,александр ивлев
0,Google Cloud Day,игорь белозеров
0,Google Cloud Day,роман гаян
0,Митап Softer. Риски в проектах по разработке ПО,александр булгаков
0,Митап Softer. Риски в проектах по разработке ПО,ярослав рашевский
0,"Курс ""Продающий копирайтинг""",александр деревицкий
0,"Курс ""Продающий копирайтинг""",джо витала
0,"Курс ""Продающий копирайтинг""",дмитрий кот
0,"Курс ""Продающий копирайтинг""",роберт чалдини
0,"Курс ""Продающий копирайтинг""",александр левитас
0,"Курс ""Продающий копирайтинг""",евгения жигилия
0,iOS-meetup SuperJob,алексей коньшин
0,iOS-meetup SuperJob,владимир бурдуков
0,iOS-meetup SuperJob,андрей кучеренко
0,MeetUP: Sbertech Java Dev,владимир галингер
0,MeetUP: Sbertech Java Dev,евгения черен
0,MeetUP: Sbertech Java Dev,олег распопов
0,MeetUP: Sbertech Java Dev,александр поздняков
0,MeetUP: Sbertech Java Dev,денис алексейчук
0,Почему SEO в вашем отеле не работает,мария крючкова
0,Митап по машинному обучению,джалиль муса
0,Общегородская встреча сообщества HashiCorp User Group#4,тарас котов
0,Общегородская встреча сообщества HashiCorp User Group#4,роман димитренко
0,"Мастер-класс ""Lessons Learned как инструмент постоянного улучшения""",даниил шульгин
0,"Воркшоп ""Пишем смарт-контракты ICO на Solidity""",алексей макеев
0,Открытая лекция «Что такое операционная система и как она работает»,кирилл лектор
0,Первый шаг в блокчейн-проектах — практикум по программированию смарт-контрактов на Solidity,светлана русова
0,Бесплатный вебинар: Создание стратегии CRM-маркетинга. План действий,юлий стукалов
0,Фестиваль G8,франсуа порше
0,Фестиваль G8,гоша евдокимов
0,Фестиваль G8,иван васильев
0,Фестиваль G8,татьяна крымова
0,Фестиваль G8,марк завадский
0,Фестиваль G8,василий мельников
0,Фестиваль G8,пол дэвис
0,Фестиваль G8,сергей михайлов
0,Фестиваль G8,виталий быков
0,Фестиваль G8,данил морозенко
0,Фестиваль G8,дэн смит
0,Фестиваль G8,олег дорожок
0,Фестиваль G8,иван дьяченко
0,Фестиваль G8,александр алхименков
0,Фестиваль G8,евгений козлов
0,Фестиваль G8,александр корольков
0,Фестиваль G8,митя осадчук
0,Фестиваль G8,арина механошина
0,Фестиваль G8,артём геллер
0,"Пятый, юбилейный, митап сообщества блокчейн-разработчи­ков Санкт-Петербурга",глеб попов
0,"Пятый, юбилейный, митап сообщества блокчейн-разработчи­ков Санкт-Петербурга",антон никоноров
0,"Пятый, юбилейный, митап сообщества блокчейн-разработчи­ков Санкт-Петербурга",сергей бородин
0,"Пятый, юбилейный, митап сообщества блокчейн-разработчи­ков Санкт-Петербурга",евгений вайнштейн
0,"Пятый, юбилейный, митап сообщества блокчейн-разработчи­ков Санкт-Петербурга",александр мазалецкий
0,Как запустить локальное СМИ минимальными ресурсами. Мастер-класс Василия Эсманова,василий эсманов
0,Kotlin Night Moscow,дмитрий грязин
0,Kotlin Night Moscow,александр тарасов
0,Kotlin Night Moscow,михаил розумянский
0,Kotlin Night Moscow,кирилл бяков
0,#ОхтаFutureTalks: Нейромаркетинг: как мы принимаем решения о покупке и как на них можно влиять,андрей кислов
0,Crypto Talks,григорий малиновский
0,Crypto Talks,пётр великий
0,Crypto Talks,дмитрий юрист
0,Crypto Talks,данил арсланов
0,"Тренинг ""Базовая эффективность: управление процессами""",мария останина
0,"Тренинг ""Базовая эффективность: управление процессами""",ирина шилова
0,Конференция Ladies Code: время технологий,александр евдокимов
0,Конференция Ladies Code: время технологий,евгений смородников
0,Конференция Ladies Code: время технологий,алёна попова
0,Блокчейн и смарт-контракты — что это такое простыми словами?,светлана русова
0,Smart Taler 2017,андрей филон
0,Smart Taler 2017,александр жмур
0,Smart Taler 2017,роберт ермаков
0,Smart Taler 2017,сергей лазюк
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,никита михеенков
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,алексей соболев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,тэглайна другой
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,мария поликарпова
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,дмитрий глазырин
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,бениман бенжамин
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,сергей газарян
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,станислав поляков
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,алексей андреев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,михаил елагин
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,михаил моисеев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,сергей беганский
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,денис германенко
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,платон днепровский
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,ксения лукичева
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,максим павлов
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,елена ружицкая
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,михаил чернышев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,виктор яковлев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,дмитрий костин
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,артём геллер
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,михаил пашинцев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,артур арсенов
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,сергей скрыпник
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,сергей куньев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,максим кургузов
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,александр ковальский
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,тэглайна крапивина
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,артём ефимцев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,георгия квасник
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,анна мусихина
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,ольга павлова
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,анастасий бацуев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,татьяна глазачева
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,артемий лебедева
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,владимир лифанов
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,екатерина смыгина
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,илья корнеев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,павел доронин
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,артемий лебедев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,иван калюжный
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,игорь костылев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,игорь назаров
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,евгений давыдов
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,алёна буренина
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,кирилл левашов
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,игорь позойский
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,витя вит
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,евгений кобзев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,альберт усманов
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,михаил менделевич
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,евгений костылев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,юрий попов
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,артем геллер
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,ольга куликова
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,сергей попков
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,антон афанасьев
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,антон колесник
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,ольга очеретина
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,елена иванова
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,владилена ситник
0,Церемония Tagline Awards и награждение digital- и SMM-агентств 2017,анна михина
0,3D хакатон,елизавета чаплыгина
0,3D хакатон,ярослава решетникова
0,VR Meetup 3.0 в IT-Парке (Ростов-на-Дону),сергей пасхалов
0,VR Meetup 3.0 в IT-Парке (Ростов-на-Дону),кирилл самоходкин
0,"Бизнес-завтрак ""Сайт как основной продавец""",светлана свиточева
0,Обучение трейдингу криптовалют в Москве,павел акопджанян
0,Обучение трейдингу криптовалют в Москве,иван петров
0,IT Разговорный клуб Skyeng на тему Data over everything,александр солженицын
0,Митап Softer. 1. Как создать бота в Telegram? 2. Диаграммы причинных циклов и их применение,денис картавенко
0,Как покупать нативную рекламу | Родион Скрябин,родион скрябин
0,App Growth Meetup,николай стерняев
0,App Growth Meetup,айя садретдинова
0,App Growth Meetup,денис осипов
0,Встреча SpbDotNet №24,анатолия кулак
0,Встреча SpbDotNet №24,роман неволин
0,PowerBI открытый микрофон,сергей лосев
0,PowerBI открытый микрофон,юрий батиевский
0,ВЕБИНАР: Комплексный интернет-маркетинг при ограниченном бюджете,дмитрий сидорин
0,"НейроФорум: ""Возможности для развития НейроНет на глобальном рынке""",александр семенов
0,"НейроФорум: ""Возможности для развития НейроНет на глобальном рынке""",кирилл соловейчик
0,"НейроФорум: ""Возможности для развития НейроНет на глобальном рынке""",иван бортник
0,"НейроФорум: ""Возможности для развития НейроНет на глобальном рынке""",татьяна комиссарова
0,"НейроФорум: ""Возможности для развития НейроНет на глобальном рынке""",виталий зубченко
0,"НейроФорум: ""Возможности для развития НейроНет на глобальном рынке""",елизавета клементьева
0,"НейроФорум: ""Возможности для развития НейроНет на глобальном рынке""",наталия галкина
0,"НейроФорум: ""Возможности для развития НейроНет на глобальном рынке""",наталья луковникова
0,"НейроФорум: ""Возможности для развития НейроНет на глобальном рынке""",евгений плужник
0,"НейроФорум: ""Возможности для развития НейроНет на глобальном рынке""",андрей иващенко
0,"«Смарт – регион 2017: цифровая экономика, возможности электронного обучения».",кирилл полетаев
0,"«Смарт – регион 2017: цифровая экономика, возможности электронного обучения».",рустем хайдаров
0,"«Смарт – регион 2017: цифровая экономика, возможности электронного обучения».",марина вайндорф
0,"«Смарт – регион 2017: цифровая экономика, возможности электронного обучения».",ильшат фазрахманов
0,"«Смарт – регион 2017: цифровая экономика, возможности электронного обучения».",ринат шагалин
0,"«Смарт – регион 2017: цифровая экономика, возможности электронного обучения».",сергей плуготаренко
0,"«Смарт – регион 2017: цифровая экономика, возможности электронного обучения».",алексей карпухин
0,"«Смарт – регион 2017: цифровая экономика, возможности электронного обучения».",рустэма мардан
0,"«Смарт – регион 2017: цифровая экономика, возможности электронного обучения».",владимир нагорный
0,"«Смарт – регион 2017: цифровая экономика, возможности электронного обучения».",сергей новиков
0,"«Смарт – регион 2017: цифровая экономика, возможности электронного обучения».",тимур мухаметьянов
0,AR/VR: где сходятся виртуальный и физический миры?,андрей манолов
0,AR/VR: где сходятся виртуальный и физический миры?,екатерина филатова
0,AR/VR: где сходятся виртуальный и физический миры?,татьяна гулина
0,AR/VR: где сходятся виртуальный и физический миры?,нелли васецкая
0,"Мастер-класс: «Типология DISC, как инструмент влияния и мотивации в деловой коммуникации»",ольга сычева
0,Компьютерная безопасность технологических проектов - ICO Protection Days,александр лазаренко
0,Компьютерная безопасность технологических проектов - ICO Protection Days,александр спикер
0,Компьютерная безопасность технологических проектов - ICO Protection Days,виктор агеев
