"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bermuda","BMU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140000","145000","141000","156000","161000","170000","181000","192000","","","","","","","","","","",
"Bolivia","BOL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249000","269000","285000","299000","253000","201000","222000","217000","304000","346000","386000","472000","526000","589000","518000","604000","775000","788000","837000","932000","965000","1048000","1105000","",
"Brazil","BRA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2600000","3797000","4014000","4171000","2863000","3228000","2674000","2338000","3229000","2968000","3364000","3886000","4662000","5238000","4920000","6457000","7807000","8497000","8866000","9616000","9384000","8592000","9458000","",
"Barbados","BRB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000","6000","7000","8000","11000","","","","38000","","","","","","","","",
"Canada","CAN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18206000","18973000","19111000","17648000","18368000","19182000","18359000","17705000","17739000","19595000","21099000","22731000","25163000","27034000","26204000","28680000","30450000","32276000","32971000","33518000","32267000","31278000","33060000","",
"Central Europe and the Baltics","CEB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72853759.5017821","81369546.4356994","86835393.1637958","88459608.25295","92884233.2967981","95836629.8589967","92253009.4063696","85151167.0803623","80794956.6322261","84060319.1818902","89501505.9802846","93981868.5999889","103194194.536317","110599000","95151000","95233000","94646000","95640000","102067000","86720000","98234000","103736000","114125000","",
"Switzerland","CHE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11148000","12061000","12515000","11891000","11815000","12240000","11554000","11427000","8774000","","","","","11147000","10453000","10011000","10466000","12098000","12403000","12518000","13601000","13857000","15318000","",
"Channel Islands","CHI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1319000","1180000","1293000","1341000","1504000","1725000","1887000","2047000","1899500","1909300","2218700","2637600","2837100","2999000","3169000","3359000","3553000","3620000","",
